gene_raw,gene_norm,n_matched_cols,matched_cols
OS05G0177500,os05t0177500,1,OS05T0177500-01
OS05G0195200,os05t0195200,1,OS05T0195200-01
OS05G0213500,os05t0213500,1,OS05T0213500-01
OS05G0348100,os05t0348100,1,OS05T0348100-01
OS05G0428700,os05t0428700,1,OS05T0428700-01
OS05G0457200,os05t0457200,1,OS05T0457200-01
OS05G0488800,os05t0488800,1,OS05T0488800-01
OS05G0516600,os05t0516600,1,OS05T0516600-01
OS05G0518600,os05t0518600,1,OS05T0518600-01
OS05G0534400,os05t0534400,1,OS05T0534400-01
OS05G0555100,os05t0555100,1,OS05T0555100-01
OS05G0574500,os05t0574500,1,OS05T0574500-01
OS06G0147800,os06t0147800,1,OS06T0147800-01
OS06G0166500,os06t0166500,1,OS06T0166500-01
OS06G0183100,os06t0183100,1,OS06T0183100-02
OS06G0210500,os06t0210500,1,OS06T0210500-01
OS06G0241100,os06t0241100,1,OS06T0241100-01
OS06G0254700,os06t0254700,1,OS06T0254700-01
OS06G0567200,os06t0567200,1,OS06T0567200-01
OS06G0606000,os06t0606000,1,OS06T0606000-01
OS06G0609500,os06t0609500,1,OS06T0609500-01
OS06G0612800,os06t0612800,1,OS06T0612800-01
OS06G0665500,os06t0665500,1,OS06T0665500-01
OS06G0683400,os06t0683400,1,OS06T0683400-02
OS06G0685700,os06t0685700,1,OS06T0685700-01
OS06G0693700,os06t0693700,1,OS06T0693700-01
OS06G0698785,os06t0698785,1,OS06T0698785-01
OS07G0164100,os07t0164100,1,OS07T0164100-01
OS07G0168800,os07t0168800,1,OS07T0168800-01
OS07G0187200,os07t0187200,1,OS07T0187200-01
OS07G0231400,os07t0231400,1,OS07T0231400-01
OS07G0561300,os07t0561300,1,OS07T0561300-01
OS07G0572800,os07t0572800,1,OS07T0572800-01
OS07G0598300,os07t0598300,1,OS07T0598300-03
OS07G0627300,os07t0627300,1,OS07T0627300-01
OS07G0679000,os07t0679000,1,OS07T0679000-01
OS07G0686800,os07t0686800,1,OS07T0686800-01
OS07G0694000,os07t0694000,2,OS07T0694000-01;OS07T0694000-02
OS08G0157600,os08t0157600,1,OS08T0157600-01
OS08G0206400,os08t0206400,1,OS08T0206400-01
OS08G0430500,os08t0430500,1,OS08T0430500-03
OS08G0445700,os08t0445700,1,OS08T0445700-01
OS08G0492500,os08t0492500,1,OS08T0492500-01
OS08G0537900,os08t0537900,1,OS08T0537900-02
OS08G0546800,os08t0546800,1,OS08T0546800-01
OS08G0558200,os08t0558200,1,OS08T0558200-01
OS09G0109800,os09t0109800,1,OS09T0109800-03
OS09G0306400,os09t0306400,1,OS09T0306400-01
OS09G0369000,os09t0369000,1,OS09T0369000-01
OS09G0478600,os09t0478600,1,OS09T0478600-01
OS09G0486500,os09t0486500,1,OS09T0486500-02
OS09G0522000,os09t0522000,1,OS09T0522000-01
OS09G0522200,os09t0522200,1,OS09T0522200-01
OS09G0537700,os09t0537700,1,OS09T0537700-02
OS09G0555500,os09t0555500,1,OS09T0555500-01
OS09G0557700,os09t0557700,1,OS09T0557700-00
OS09G0571200,os09t0571200,1,OS09T0571200-01
OS10G0409400,os10t0409400,1,OS10T0409400-01
OS10G0415300,os10t0415300,1,OS10T0415300-01
OS10G0415900,os10t0415900,1,OS10T0415900-01
OS10G0419400,os10t0419400,1,OS10T0419400-01
OS10G0431000,os10t0431000,1,OS10T0431000-03
OS10G0456800,os10t0456800,1,OS10T0456800-01
OS10G0478900,os10t0478900,1,OS10T0478900-01
OS10G0492800,os10t0492800,1,OS10T0492800-01
OS10G0518200,os10t0518200,1,OS10T0518200-01
OS10G0521000,os10t0521000,1,OS10T0521000-01
OS10G0533600,os10t0533600,1,OS10T0533600-01
OS10G0553300,os10t0553300,1,OS10T0553300-01
OS10G0563600,os10t0563600,1,OS10T0563600-01
OS10G0577700,os10t0577700,1,OS10T0577700-01
OS10G0577800,os10t0577800,1,OS10T0577800-01
OS10G0579100,os10t0579100,1,OS10T0579100-01
OS11G0127600,os11t0127600,1,OS11T0127600-01
OS11G0151400,os11t0151400,1,OS11T0151400-01
